"año","Id_municipio","Municipio","Subregion","Id_cultivo","Cultivo","Ciclo","Produccion_toneladas"
"2022","76233","Dagua","Sur","2045801","Plátano","Anual","14.088"
"2022","76100","Bolivar","Norte","2045801","Plátano","Anual","6.578"
"2022","76243","El Aguila","Norte","2045801","Plátano","Anual","26.000"
"2022","76001","Cali","Sur","2045801","Plátano","Anual","186"
"2022","76275","Florida","Sur","2045801","Plátano","Anual","2.124,4"
"2022","76400","La Unión","Norte","2045801","Plátano","Anual","416"
"2022","76306","Ginebra","Sur","2045801","Plátano","Anual","1.110"
"2022","76020","Alcalá","Norte","2045801","Plátano","Anual","12.000"
"2022","76250","El Dovio","Norte","2045801","Plátano","Anual","1.957"
"2022","76403","La Victoria","Norte","2045801","Plátano","Anual","1.176"
"2022","76246","El Cairo","Norte","2045801","Plátano","Anual","23.700"
"2022","76036","Andalucia","Centro","2045801","Plátano","Anual","1.062,72"
"2022","76147","Cartago","Norte","2045801","Plátano","Anual","2.550"
"2022","76622","Roldanillo","Norte","2045801","Plátano","Anual","1.440"
"2022","76054","Argelia","Norte","2045801","Plátano","Anual","9.780"
"2022","76041","Ansermanuevo","Norte","2045801","Plátano","Anual","8.006,6"
"2022","76823","Toro","Norte","2045801","Plátano","Anual","1.410"
"2022","76109","Buenaventura","Pacifico","2045801","Plátano","Anual","465"
"2022","76111","Buga","Centro","2045801","Plátano","Anual","280"
"2022","76113","Bugalagrande","Centro","2045801","Plátano","Anual","2.064"
"2022","76126","Calima Darién","Centro","2045801","Plátano","Anual","3.462,94"
"2022","76122","Caicedonia","Centro","2045801","Plátano","Anual","23.352"
"2022","76130","Candelaria","Sur","2045801","Plátano","Anual","56,8"
"2022","76828","Trujillo","Centro","2045801","Plátano","Anual","38.786"
"2022","76834","Tuluá","Centro","2045801","Plátano","Anual","4.194"
"2022","76670","San Pedro","Centro","2045801","Plátano","Anual","265"
"2022","76736","Sevilla","Centro","2045801","Plátano","Anual","77.832"
"2022","76890","Yotoco","Centro","2045801","Plátano","Anual","12.540,36"
"2022","76318","Guacarí","Centro","2045801","Plátano","Anual","1.848"
"2022","76895","Zarzal","Norte","2045801","Plátano","Anual","33,48"
"2022","76364","Jamundí","Sur","2045801","Plátano","Anual","625"
